Platform,Genre,Year,Price,Reviews,Hours_Played,Multiplayer,DLC,Rating,Successful
3,2,2010,26.9,2236,110.8,0,0,7.2,1
3,0,2019,41.76,8915,39.7,1,0,6.8,1
2,5,2017,48.98,3559,87.7,0,1,8.2,1
3,0,2017,42.0,1907,56.4,0,0,5.5,0
1,1,2020,11.31,11650,79.9,0,1,7.5,1
3,1,2018,23.28,2172,72.8,1,0,7.3,0
2,1,2021,68.27,10059,57.8,1,0,7.4,0
2,0,2022,52.82,10402,114.1,1,1,8.8,1
2,0,2024,53.69,922,42.4,0,0,5.2,0
2,4,2022,55.27,2610,22.9,1,0,5.4,0
0,5,2018,62.22,11919,82.0,1,1,8.0,1
0,0,2017,9.36,7619,101.8,1,1,9.2,1
1,1,2013,32.5,1837,6.7,0,0,3.8,0
0,3,2019,45.46,14876,55.1,1,1,7.5,1
2,5,2012,30.38,3989,107.3,0,1,9.0,1
3,4,2024,68.34,80,90.5,0,1,7.6,1
3,4,2023,41.19,13864,119.0,0,0,8.6,1
2,3,2011,62.65,268,64.7,0,1,6.6,0
4,2,2022,68.9,8309,79.9,0,1,7.4,0
2,1,2011,42.86,14896,37.7,0,1,5.3,0
0,5,2021,73.22,8675,113.8,0,0,6.4,0
3,4,2011,49.03,8777,45.2,1,1,7.7,1
2,0,2017,68.77,5834,89.1,0,1,7.0,0
3,4,2020,30.54,1921,49.6,1,0,6.6,0
2,0,2021,42.41,8598,68.3,1,1,6.7,1
2,4,2016,44.86,13461,86.9,1,1,7.1,1
0,4,2024,12.87,1384,62.1,1,0,7.1,0
2,0,2022,34.89,13208,109.0,0,1,7.7,1
3,2,2013,73.8,6237,51.5,1,0,7.2,0
1,0,2020,52.31,8052,78.4,1,1,8.2,1
3,3,2021,18.31,2497,42.4,0,1,6.7,0
0,5,2015,30.41,9334,50.2,0,1,6.9,1
1,0,2021,19.37,2751,53.9,1,0,8.1,1
2,2,2024,6.86,4112,16.8,0,1,5.1,0
4,5,2023,74.56,10829,12.8,0,0,5.5,0
1,1,2022,38.62,776,80.8,1,1,8.7,1
1,0,2020,28.07,6718,79.4,1,1,8.8,1
2,2,2014,49.89,8926,80.2,0,0,6.2,0
4,3,2022,5.55,1997,4.3,1,0,5.5,0
4,3,2015,25.85,4435,40.5,0,0,7.2,0
0,1,2018,57.73,5165,25.3,1,1,6.9,0
1,5,2015,52.53,9961,93.8,1,0,8.2,1
4,3,2015,78.64,14651,103.6,0,0,7.7,1
0,1,2012,51.53,12546,31.1,0,0,5.7,0
4,5,2025,40.81,2862,80.8,1,0,7.9,0
1,5,2012,62.11,292,17.3,0,0,5.5,0
4,2,2011,72.75,797,34.5,0,0,6.0,0
1,0,2024,59.05,8943,18.4,0,0,5.7,0
2,3,2018,77.24,2360,35.5,1,1,6.3,0
3,3,2017,63.65,3484,81.6,0,0,7.6,0
0,0,2021,70.01,12713,109.4,1,1,10.0,1
2,3,2016,13.56,13110,25.9,1,1,5.3,1
2,5,2012,59.93,12588,66.0,0,1,7.4,1
3,0,2021,38.01,3819,84.8,1,0,7.3,0
4,4,2012,46.48,9302,114.4,1,0,8.9,1
3,0,2018,54.06,9169,74.0,0,1,7.4,1
2,4,2025,77.74,2795,32.1,1,1,7.2,0
2,2,2024,78.84,8312,75.8,0,1,8.2,1
2,0,2015,26.62,7888,39.8,0,0,6.3,0
4,5,2022,60.03,5954,117.2,0,0,8.9,1
1,0,2019,61.25,11279,49.2,1,0,5.3,0
0,3,2017,30.99,10170,82.9,1,0,8.9,1
1,1,2012,14.29,7999,4.7,0,1,5.8,0
0,5,2016,8.07,10892,49.2,1,0,7.7,1
0,4,2020,63.3,11451,105.3,1,0,7.5,0
0,4,2025,41.73,8512,74.0,1,1,7.2,1
3,2,2010,78.92,4029,54.4,1,1,7.4,0
3,2,2021,39.87,11381,112.4,0,0,8.0,1
3,3,2023,78.34,10769,102.8,1,0,8.4,1
2,4,2025,35.87,14751,40.0,0,1,7.2,1
3,5,2016,64.53,2263,66.3,0,1,5.9,0
0,0,2011,11.36,6300,59.8,0,1,7.6,0
4,3,2014,46.66,13864,76.6,1,1,7.8,1
2,0,2023,65.15,7728,41.4,1,1,6.8,0
4,1,2024,74.35,14140,30.8,0,0,5.0,0
0,4,2020,66.69,206,109.7,0,0,8.3,1
2,1,2011,7.77,546,111.0,0,1,6.5,0
3,4,2011,32.95,11944,101.5,1,0,8.7,1
2,2,2017,8.65,5389,117.4,0,0,7.1,1
2,1,2019,13.2,7813,89.9,1,0,8.0,1
0,2,2010,55.65,6431,92.2,0,1,7.7,0
1,3,2020,58.49,6131,92.0,0,0,8.3,0
1,4,2018,63.03,14093,58.7,1,0,7.0,0
1,3,2010,69.91,1429,55.9,0,0,6.1,0
3,5,2011,60.46,11587,30.3,0,0,5.6,0
3,5,2017,65.07,13347,78.1,0,1,8.3,1
3,4,2021,8.67,9868,36.1,1,0,6.9,0
1,3,2023,22.59,5937,32.4,0,1,6.0,0
4,1,2016,51.64,2417,71.1,0,0,6.8,0
0,2,2014,69.36,10245,50.4,0,1,5.6,0
1,0,2025,5.34,7042,27.8,1,1,6.9,1
0,2,2017,43.6,2257,98.3,1,1,7.1,0
1,5,2015,55.8,5407,103.5,1,1,9.0,1
4,2,2017,7.22,14424,21.8,0,0,5.9,0
1,0,2010,35.1,3995,2.9,1,1,7.7,0
4,3,2014,72.17,2693,41.7,0,1,5.7,0
2,5,2018,55.37,10235,96.1,1,1,8.3,1
3,5,2024,22.82,3009,101.0,1,1,9.7,1
2,1,2021,68.96,13800,18.3,1,1,7.2,0
1,2,2022,31.1,12887,93.4,1,1,7.8,1
3,3,2018,69.0,14753,15.7,1,1,6.5,0
4,1,2011,27.42,13690,48.0,0,1,6.7,1
1,1,2016,49.27,3671,119.8,1,0,8.9,1
3,1,2025,34.77,3197,24.7,1,0,5.8,0
1,5,2010,25.61,5152,20.2,1,0,6.1,0
3,4,2024,71.49,7057,51.9,1,0,5.8,0
3,5,2020,19.07,13202,75.1,0,0,7.2,1
2,4,2014,11.36,11007,112.1,1,0,8.8,1
3,5,2022,30.64,9673,117.7,0,0,8.0,1
1,0,2023,58.82,13177,10.2,1,0,4.8,0
0,5,2010,65.56,9695,18.3,1,1,7.1,0
0,0,2011,79.91,5698,95.3,0,1,8.1,1
2,2,2020,27.23,6206,33.9,1,1,6.3,1
4,3,2025,35.6,7764,106.4,1,0,8.1,1
0,2,2010,15.26,1349,80.3,1,0,6.6,1
2,0,2020,48.12,11130,15.2,0,1,5.1,0
3,1,2012,79.82,9798,100.2,0,0,7.4,1
1,4,2020,57.57,10972,22.8,1,1,7.4,1
3,1,2019,49.64,8018,52.0,1,0,6.5,0
1,1,2011,34.43,11748,67.2,1,0,7.8,1
4,5,2020,73.65,14247,61.1,1,1,7.1,1
2,0,2024,42.27,8557,83.0,0,0,7.5,0
2,5,2023,15.08,6676,79.0,1,0,7.5,1
0,5,2010,32.4,1587,119.1,0,1,9.0,1
2,3,2013,10.04,11684,119.9,1,0,8.3,1
4,0,2013,20.15,13561,62.9,1,1,6.4,1
0,0,2017,6.33,10498,13.2,1,0,5.0,0
3,1,2012,39.0,12986,87.9,1,0,7.5,1
2,3,2023,52.59,12920,117.2,0,1,7.5,1
3,0,2022,30.75,11975,39.6,0,0,6.5,1
3,2,2022,36.53,7553,56.4,0,1,6.6,1
2,0,2013,76.94,1515,52.1,1,1,8.9,1
1,3,2010,61.4,68,8.1,0,1,4.4,0
3,0,2024,45.56,3081,81.3,1,0,7.8,1
0,4,2014,26.34,6476,43.7,0,1,5.8,0
2,0,2020,72.27,11159,94.9,0,1,7.5,1
0,1,2024,22.63,6847,100.2,0,1,8.1,1
3,1,2010,29.4,366,98.9,0,0,6.0,0
3,4,2010,73.18,3170,51.2,0,1,6.9,0
0,0,2010,44.72,14688,39.9,0,0,7.6,1
3,2,2012,60.67,14820,90.4,1,1,7.9,1
2,3,2010,49.31,5669,96.6,1,0,8.3,1
3,3,2023,54.01,12078,60.0,1,1,8.1,1
0,4,2019,27.45,10795,107.4,0,1,8.0,1
0,4,2025,23.1,13970,19.0,1,0,5.7,0
2,2,2022,29.19,13315,105.7,1,1,7.0,1
0,4,2025,16.66,9438,13.3,1,1,6.7,1
1,1,2013,70.57,5931,20.1,0,0,5.6,0
3,5,2014,26.24,9407,65.0,1,0,6.6,1
0,3,2023,47.11,4800,10.0,1,1,6.3,0
3,4,2013,64.4,5234,8.2,0,0,5.0,0
0,5,2010,63.79,9138,2.1,0,0,4.9,0
0,4,2020,37.88,8579,53.5,1,1,7.7,1
2,5,2022,40.72,8723,93.4,0,0,6.6,1
3,3,2025,79.6,5782,6.1,0,1,6.4,0
0,0,2024,55.59,6148,79.0,1,0,6.7,0
1,2,2011,66.1,172,99.1,0,1,7.5,0
4,1,2022,72.69,9034,21.8,0,0,7.1,0
4,5,2023,64.07,8645,19.3,0,1,6.7,0
2,1,2021,18.89,14032,103.6,1,1,8.6,1
2,1,2023,47.16,7574,99.1,0,0,7.0,1
1,1,2023,12.64,7025,65.6,1,0,6.9,0
3,3,2017,53.97,1033,98.7,0,1,8.0,1
2,3,2010,76.65,2967,12.9,1,1,6.3,0
1,5,2017,43.45,5083,48.5,1,1,7.1,1
0,2,2013,37.47,5670,89.1,1,0,7.9,1
0,1,2011,7.69,5453,32.4,1,1,6.6,1
4,0,2011,76.98,5923,90.8,0,1,6.7,0
2,0,2021,12.73,11538,61.5,1,0,6.8,1
2,2,2018,8.08,1984,90.5,1,0,8.6,1
2,5,2018,23.45,4997,56.8,1,0,6.1,0
3,3,2021,9.91,2459,45.4,1,1,6.9,1
0,5,2018,39.13,4630,27.9,1,0,5.8,0
0,0,2020,43.71,10274,26.6,0,0,6.0,0
1,0,2011,28.44,720,90.7,0,1,7.5,1
2,5,2023,8.82,5105,16.0,0,0,6.6,0
3,0,2017,13.37,374,12.1,0,1,6.1,0
2,0,2012,33.84,14324,22.8,1,1,5.6,0
2,2,2023,9.54,10914,22.7,1,1,7.0,0
4,5,2021,57.36,3669,99.1,0,1,7.4,0
0,4,2010,20.53,2988,49.0,0,1,6.3,0
2,0,2013,27.66,1501,118.9,1,1,9.1,1
2,5,2010,34.56,7103,18.2,1,1,6.0,0
2,5,2014,36.25,11307,79.1,1,0,8.3,1
4,4,2011,5.12,8771,55.0,1,0,6.5,1
1,5,2021,13.41,13217,48.4,1,1,6.7,1
4,1,2018,69.71,5170,105.3,1,0,7.8,1
1,5,2025,5.09,4186,117.1,0,1,8.0,1
2,1,2021,43.11,7181,105.0,1,1,9.3,1
2,4,2019,41.71,3047,24.7,0,1,6.5,0
4,3,2018,29.98,14635,28.1,0,0,7.1,1
2,4,2010,37.35,2802,79.4,0,0,8.8,0
1,3,2011,63.54,7193,36.1,0,0,5.4,0
0,3,2019,68.09,7839,88.7,0,1,7.7,0
